"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
1,1.325,6.25,10,100,1.42232119025963,1.35295542371841,9.47175883039464
2,1.325,6.25,10,100,2,1.325,6.25
-2,2.55,6.25,10,100,-2.00040729068929,2.55053594420392,6.24953088696874
-1,2.55,6.25,10,100,-1.04547012437408,2.53727432544942,6.72743942600022
0,2.55,6.25,10,100,0.0486830043461684,2.5375926591935,6.70649971451031
1,2.55,6.25,10,100,1.0000112170789,2.55000657745784,6.24998639038112
2,2.55,6.25,10,100,2.28452493370335,2.45930767738206,9.58427656683616
-2,3.775,6.25,10,100,-1.99999972756155,3.77499991429541,6.24999985810498
-1,3.775,6.25,10,100,-1.00000007927392,3.77500005483113,6.24999994494867
0,3.775,6.25,10,100,0.00122208703578247,3.77453864850411,6.26145778931708
1,3.775,6.25,10,100,0.998317978530275,3.77472909153257,6.2632188606974
2,3.775,6.25,10,100,1.99983795156802,3.77494902226411,6.24991559977501
-2,5,6.25,10,100,-2,5,6.25
-1,5,6.25,10,100,-1,5,6.25
0,5,6.25,10,100,0,5,6.25
1,5,6.25,10,100,1,5,6.25
2,5,6.25,10,100,2,5,6.25
-2,0.1,7.5,10,100,-1.9999992987679,0.100000578516482,7.49999956172994
-1,0.1,7.5,10,100,-1,0.1,7.5
0,0.1,7.5,10,100,1.24755402702086e-07,0.100000220928364,7.49999976165055
1,0.1,7.5,10,100,0.999999999854083,0.100000000131325,7.49999999990051
2,0.1,7.5,10,100,1.99999999859335,0.100000001160483,7.49999999912085
-2,1.325,7.5,10,100,0.111941853450689,1.09001830305025,23.8054386964835
-1,1.325,7.5,10,100,0.225642770738731,1.17736575716106,17.8065414812123
0,1.325,7.5,10,100,0.396821835035061,1.17797270704699,10.2195381790542
1,1.325,7.5,10,100,1.33068473847785,1.27631585794632,10.8987042565779
2,1.325,7.5,10,100,2,1.325,7.5
-2,2.55,7.5,10,100,-2.00100858987399,2.55030072640826,7.49985808119069
-1,2.55,7.5,10,100,-1,2.55,7.5
0,2.55,7.5,10,100,0.000152261638891387,2.55011343492097,7.49988580377083
1,2.55,7.5,10,100,1.00023108940584,2.54993452466835,7.49980742549514
2,2.55,7.5,10,100,2.01758641967266,2.54439432872934,7.48351273155688
-2,3.775,7.5,10,100,-2.02794667834105,3.76691319795529,11.3410771599644
-1,3.775,7.5,10,100,-1.01019064831509,3.77133922636734,7.64282438011638
0,3.775,7.5,10,100,0.154834473984273,3.8000461286732,10.6733839736656
1,3.775,7.5,10,100,0.587450911016929,3.63353520044079,10.9619356621476
2,3.775,7.5,10,100,1.99999991246424,3.77500004540917,7.5000006747548
-2,5,7.5,10,100,-1.94032994437109,4.97513715488591,7.95995684562498
-1,5,7.5,10,100,-1.00520242194446,4.99650317768988,7.56005716659651
0,5,7.5,10,100,-7.46127777121129e-08,5.00000008171088,7.49999997796088
1,5,7.5,10,100,0.999866168997113,4.99993156678648,7.49988406205343
2,5,7.5,10,100,2.00015961601324,5.00009976000828,7.50184556015311
-2,0.1,8.75,10,100,-2.00000000002422,0.100000000029971,8.74999999997351
-1,0.1,8.75,10,100,-1.30756025561171,0.523127981419088,12.1687793672666
0,0.1,8.75,10,100,0,0.1,8.75
1,0.1,8.75,10,100,1,0.1,8.75
