"","ld2","Var1","Var2","Var3"
"179",2.01398954993401,7.5,-0.4,0
"180",2.04680963452958,7.75,-0.4,0
"181",2.07858665344004,8,-0.4,0
"182",2.10938487253738,8.25,-0.4,0
"183",2.13926279513264,8.5,-0.4,0
"184",2.16827383101108,8.75,-0.4,0
"185",2.19646687110161,9,-0.4,0
"186",2.22388678331593,9.25,-0.4,0
"187",2.25057484218843,9.5,-0.4,0
"188",2.27656910264794,9.75,-0.4,0
"189",2.30190472641871,10,-0.4,0
"190",1.60875754585876,5,-0.2,0
"191",1.65758074604826,5.25,-0.2,0
"192",1.70413073771042,5.5,-0.2,0
"193",1.74860982269174,5.75,-0.2,0
"194",1.79119444336679,6,-0.2,0
"195",1.83203941055322,6.25,-0.2,0
"196",1.87128130117652,6.5,-0.2,0
"197",1.90904121396382,6.75,-0.2,0
"198",1.94542702344076,7,-0.2,0
"199",1.98053523799921,7.25,-0.2,0
"200",2.01445254266913,7.5,-0.2,0
"201",2.04725708869685,7.75,-0.2,0
"202",2.07901957821343,8,-0.2,0
"203",2.10980418186465,8.25,-0.2,0
"204",2.13966931935138,8.5,-0.2,0
"205",2.16866832674584,8.75,-0.2,0
"206",2.19685002973869,9,-0.2,0
"207",2.22425923829413,9.25,-0.2,0
"208",2.25093717529904,9.5,-0.2,0
"209",2.27692184950114,9.75,-0.2,0
"210",2.30224838120542,10,-0.2,0
"211",1.6094379124341,5,0,0
"212",1.65822807660353,5.25,0,0
"213",1.70474809223843,5.5,0,0
"214",1.74919985480926,5.75,0,0
"215",1.79175946922805,6,0,0
"216",1.83258146374831,6.25,0,0
"217",1.87180217690159,6.5,0,0
"218",1.90954250488444,6.75,0,0
"219",1.94591014905531,7,0,0
"220",1.98100146886658,7.25,0,0
"221",2.01490302054226,7.5,0,0
"222",2.04769284336526,7.75,0,0
"223",2.07944154167984,8,0,0
"224",2.11021320034659,8.25,0,0
"225",2.14006616349627,8.5,0,0
"226",2.16905370036952,8.75,0,0
"227",2.19722457733622,9,0,0
"228",2.22462355152433,9.25,0,0
"229",2.2512917986065,9.5,0,0
"230",2.27726728500976,9.75,0,0
"231",2.30258509299405,10,0,0
"232",1.61009159098665,5,0.2,0
"233",1.65885120213806,5.25,0.2,0
"234",1.70534339361513,5.5,0.2,0
"235",1.7497697108884,5.75,0.2,0
"236",1.7923059662751,6,0.2,0
"237",1.83310644153263,6.25,0.2,0
"238",1.87230726605985,6.5,0.2,0
"239",1.91002915746264,6.75,0.2,0
"240",1.94637966367142,7,0.2,0
"241",1.981455011592,7.25,0.2,0
"242",2.01534164234755,7.5,0.2,0
"243",2.04811749478694,7.75,0.2,0
"244",2.07985308522301,8,0.2,0
"245",2.1106124210303,8.25,0.2,0
"246",2.14045377786567,8.5,0.2,0
"247",2.16943036423481,8.75,0.2,0
"248",2.1975908924482,9,0.2,0
"249",2.22498007135736,9.25,0.2,0
"250",2.25163903338821,9.5,0.2,0
"251",2.27760570611243,9.75,0.2,0
"252",2.30291513678232,10,0.2,0
"253",1.61072059645304,5,0.4,0
"254",1.65945186774611,5.25,0.4,0
"255",1.70591816321631,5.5,0.4,0
"256",1.75032072525941,5.75,0.4,0
"257",1.79283511124701,6,0.4,0
"258",1.8336153869303,6.25,0.4,0
"259",1.87279749747995,6.5,0.4,0
"260",1.9105020024148,6.75,0.4,0
"261",1.94683631324123,7,0.4,0
"262",1.98189653851611,7.25,0.4,0
"263",2.01576901619111,7.5,0.4,0
"264",2.04853159476338,7.75,0.4,0
"265",2.08025471108266,8,0.4,0
"266",2.11100230235654,8.25,0.4,0
"267",2.1408325820503,8.5,0.4,0
"268",2.16979870335149,8.75,0.4,0
"269",2.19794932920188,9,0.4,0
"270",2.22532912425478,9.25,0.4,0
"271",2.25197918124873,9.5,0.4,0
"272",2.27793739201772,9.75,0.4,0
"273",2.3032387715466,10,0.4,0
"274",1.61132672385588,5,0.6,0
"275",1.66003163634754,5.25,0.6,0
"276",1.70647377022077,5.5,0.6,0
"277",1.75085410411085,5.75,0.6,0
"278",1.79334797222479,6,0.6,0
"279",1.83410925022374,6.25,0.6,0
"280",1.87327372035402,6.5,0.6,0
"281",1.91096180169011,6.75,0.6,0
"282",1.94728078402593,7,0.6,0
"283",1.98232666991538,7.25,0.6,0
"284",2.0161857045612,7.5,0.6,0
"285",2.04893565495688,7.75,0.6,0
"286",2.0806468860395,8,0.6,0
"287",2.11138327132448,8.25,0.6,0
"288",2.14120296766338,8.5,0.6,0
"289",2.17015907775171,8.75,0.6,0
"290",2.19830021935518,9,0.6,0
"291",2.22567101658533,9.25,0.6,0
"292",2.25231252569384,9.5,0.6,0
"293",2.27826260558812,9.75,0.6,0
"294",2.30355624146278,10,0.6,0
"295",1.61191157918607,5,0.8,0
"296",1.66059191319419,5.25,0.8,0
"297",1.70701145125774,5.5,0.8,0
"298",1.75137094138989,5.75,0.8,0
"299",1.79384552161062,6,0.8,0
"300",1.83458889963291,6.25,0.8,0
"301",1.87373671308914,6.5,0.8,0
"302",1.91140925585738,6.75,0.8,0
"303",1.94771370879932,7,0.8,0
"304",1.98274597924265,7.25,0.8,0
"305",2.01659222877994,7.5,0.8,0
"306",2.04933015069165,7.75,0.8,0
"307",2.08103004467657,8,0.8,0
"308",2.11175572630268,8.25,0.8,0
"309",2.14156530077399,8.5,0.8,0
"310",2.17051182460491,8.75,0.8,0
"311",2.19864387414189,9,0.8,0
"312",2.22600603624068,9.25,0.8,0
"313",2.25263933355031,9.5,0.8,0
"314",2.27858159459163,9.75,0.8,0
"315",2.30386777701298,10,0.8,0
"316",1.61247660504733,5,1,0
"317",1.66113396638928,5.25,1,0
"318",1.70753232698281,5.5,1,0
"319",1.75187223231051,5.75,1,0
"320",1.79432864722518,6,1,0
"321",1.83505513050028,6.25,1,0
"322",1.87418719096227,6.5,1,0
"323",1.91184501052579,6.75,1,0
"324",1.94813567226572,7,1,0
"325",1.98315499772458,7.25,1,0
"326",2.01698907292483,7.5,1,0
"327",2.04971552431533,7.75,1,0
"328",2.08140459227411,8,1,0
"329",2.11212003953288,8.25,1,0
"330",2.14191992408144,8.5,1,0
"331",2.17085726011353,8.75,1,0
"332",2.19898058593052,9,1,0
"333",2.226334454092,9.25,1,0
"334",2.25295985624911,9.5,1,0
"335",2.27889459283582,9.75,1,0
"336",2.30417359599078,10,1,0
"337",1.61302310209438,5,1.2,0
"338",1.6616589441736,5.25,1.2,0
"339",1.70803741614107,5.5,1.2,0
"340",1.75235888488872,5.75,1.2,0
"341",1.79479816184129,6,1.2,0
"342",1.8355086732257,6.25,1.2,0
"343",1.87462581276756,6.5,1.2,0
"344",1.91226966194747,6.75,1.2,0
"345",1.94854721580889,7,1.2,0
"346",1.98355421840829,7.25,1.2,0
"347",2.01737668729424,7.5,1.2,0
"348",2.05009218818061,7.75,1.2,0
"349",2.08177090738609,8,1.2,0
"350",2.11247655936591,8.25,1.2,0
"351",2.14226715886315,8.5,1.2,0
"352",2.17119568121621,8.75,1.2,0
"353",2.19931062971879,9,1.2,0
"354",2.22665652530578,9.25,1.2,0
"355",2.25327433098752,9.5,1.2,0
"356",2.2792018211973,9.75,1.2,0
"357",2.30447390441583,10,1.2,0
"358",1.61355224706629,5,1.4,0
"359",1.66216788957127,5.25,1.4,0
"360",1.70852764756117,5.5,1.4,0
"361",1.75283172984087,5.75,1.4,0
"362",1.79525481141109,6,1.4,0
"363",1.83595020014981,6.25,1.4,0
"364",1.87505318661111,6.5,1.4,0
"365",1.91268376192391,6.75,1.4,0
"366",1.94894884166855,7,1.4,0
"367",1.98394409973454,7.25,1.4,0
"368",2.01775549147886,7.5,1.4,0
"369",2.05046052729729,7.75,1.4,0
"370",2.08212934413977,8,1.4,0
"371",2.11282561226333,8.25,1.4,0
"372",2.14260730672368,8.5,1.4,0
"373",2.17152736712149,8.75,1.4,0
"374",2.19963426448307,9,1.4,0
"375",2.22697249053485,9.25,1.4,0
"376",2.25358298178364,9.5,1.4,0
"377",2.27950348855803,9.75,1.4,0
"378",2.30476889736749,10,1.4,0
"379",1.61406510804407,5,1.6,0
"380",1.66266175286471,5.25,1.6,0
"381",1.70900387043524,5.5,1.6,0
"382",1.75329152911618,5.75,1.6,0
"383",1.79569928219579,6,1.6,0
"384",1.83638033154908,6.25,1.6,0
"385",1.8754698749812,6.5,1.6,0
"386",1.91308782211741,6.75,1.6,0
"387",1.94934101662538,7,1.6,0
"388",1.98432506870247,7.25,1.6,0
"389",2.01812587709194,7.5,1.6,0
"390",2.05082090169751,7.75,1.6,0
"391",2.08248023429307,8,1.6,0
"392",2.11316750459388,8.25,1.6,0
"393",2.14294065116879,8.5,1.6,0
"394",2.17185258069189,8.75,1.6,0
"395",2.19995173439925,9,1.6,0
"396",2.2272825769987,9.25,1.6,0
"397",2.25388602043503,9.5,1.6,0
"398",2.27979979265838,9.75,1.6,0
"399",2.30505875974602,10,1.6,0
"400",1.6145626574299,5,1.8,0
"401",1.66314140227388,5.25,1.8,0
"402",1.70946686317036,5.5,1.8,0
"403",1.75373898328345,5.75,1.8,0
"404",1.79613220696918,6,1.8,0
"405",1.83679964087635,6.25,1.8,0
"406",1.87587639919994,6.5,1.8,0
"407",1.91348231785218,6.75,1.8,0
"408",1.94972417526246,7,1.8,0
"409",1.98469752368067,7.25,1.8,0
"410",2.01848821020255,7.5,1.8,0
"411",2.05117364855071,7.75,1.8,0
"412",2.08282388907978,8,1.8,0
"413",2.11350252424923,8.25,1.8,0
"414",2.14326745902526,8.5,1.8,0
"415",2.1721715696954,8.75,1.8,0
"416",2.20026326994945,9,1.8,0
"417",2.22758699946499,9.25,1.8,0
"418",2.25418364739169,9.5,1.8,0
"419",2.28009092087572,9.75,1.8,0
"420",2.30534366696867,10,1.8,0
"421",1.61504578304445,5,2,0
"422",1.66360763314125,5.25,2,0
"423",1.70991734104349,5.5,2,0
"424",1.75417473795186,5.75,2,0
"425",1.79655417043558,6,2,0
"426",1.83720865935828,6.25,2,0
"427",1.87627324334484,6.5,2,0
"428",1.91386769147586,6.75,2,0
"429",1.95009872286,7,2,0
"430",1.98506183691088,7.25,2,0
"431",2.01884283351,7.5,2,0
"432",2.05151908405933,7.75,2,0
"433",2.08316060086841,8,2,0
"434",2.11383094210055,8.25,2,0
"435",2.14358798172406,8.5,2,0
"436",2.17248456793959,8.75,2,0
"437",2.20056908892726,9,2,0
"438",2.2278859611431,9.25,2,0
"439",2.25447605255254,9.5,2,0
"440",2.2803770509361,9.75,2,0
"441",2.30562378560728,10,2,0
"442",1.60072740665222,5,-2,0.1
"443",1.65005674471001,5.25,-2,0.1
"444",1.69705241864745,5.5,-2,0.1
"445",1.74192703464031,5.75,-2,0.1
"446",1.78486510539737,6,-2,0.1
