"","x"
"642",-20.6577942537723
"643",-20.7215789077865
"644",-20.7925898426359
"645",-20.9300837641773
"646",-21.0456393035926
"647",-21.2026419262785
"648",-21.389454479837
"649",-21.5667698413052
"650",-20.572900868765
"651",-20.5823415003024
"652",-20.6093015078534
"653",-20.6599989703111
"654",-20.7229386900494
"655",-20.8178929595199
"656",-20.9063650524709
"657",-21.0198919509072
"658",-21.2000826033216
"659",-21.3820909447842
"660",-21.6052728359544
"661",-20.5806239161311
"662",-20.5904591532803
"663",-20.6180031487613
"664",-20.6640225303092
"665",-20.7432390891099
"666",-20.8317346593167
"667",-20.9288662457524
"668",-21.0696641268969
"669",-21.2272333747253
"670",-21.358504449123
"671",-21.5846032289585
"672",-20.5891422055181
"673",-20.5993480115853
"674",-20.6254825646582
"675",-20.6801445838948
"676",-20.7592185227048
"677",-20.8500858276675
"678",-20.9551263806091
"679",-21.0838783825319
"680",-21.1873444030796
"681",-21.399274992226
"682",-21.5815664464992
"683",-20.5984144729096
"684",-20.607299440462
"685",-20.633931594806
"686",-20.6866284057511
"687",-20.7533766013329
"688",-20.8563618963944
"689",-20.9578687843744
"690",-21.1049271667658
"691",-21.2305302896306
"692",-21.4190053160908
"693",-21.6329115434579
"694",-17.955898565643
"695",-17.9627118850146
"696",-17.9944359432916
"697",-18.0291593778244
"698",-18.1024607949044
"699",-18.2036155700788
"700",-18.266173358417
"701",-18.393762636411
"702",-18.6127687768738
"703",-18.7233819819889
"704",-18.9450436282236
"705",-17.9392377689938
"706",-17.9458071485216
"707",-17.970328472144
"708",-18.0164705129487
"709",-18.0721911926566
"710",-18.1614940154757
"711",-18.2864654578731
"712",-18.3882105519997
"713",-18.5270777907474
"714",-18.6899031534532
"715",-18.807429058881
"716",-17.9250412979183
"717",-17.9347568394514
"718",-17.9619922860704
"719",-18.0041005260478
"720",-18.0732644531035
"721",-18.1400547075581
"722",-18.2488153751273
"723",-18.3412070319295
"724",-18.5160878258791
"725",-18.6913480753593
"726",-18.8730984977299
"727",-17.9130841183106
"728",-17.9211294189506
"729",-17.9494104475544
"730",-17.9912276503802
"731",-18.0556703330331
"732",-18.1447151447983
"733",-18.2319650696918
"734",-18.3610456829771
"735",-18.5047920863591
"736",-18.6451500255198
"737",-18.8546902937406
"738",-17.9031709110764
"739",-17.9132702734457
"740",-17.938888381222
"741",-17.9824919704823
"742",-18.0511213738495
"743",-18.1310581270381
"744",-18.2360229131844
"745",-18.3503881055184
"746",-18.4607012728825
"747",-18.6486455579636
"748",-18.8328813879076
"749",-17.8951310607635
"750",-17.9039766786301
"751",-17.9273328656299
"752",-17.9766333678296
"753",-18.0375818403844
"754",-18.1177033377043
"755",-18.2383208454911
"756",-18.3361800466636
"757",-18.4808125308803
"758",-18.629460352384
"759",-18.7474949461929
"760",-17.8888146580369
"761",-17.8975491472785
"762",-17.9239577001288
"763",-17.9736497125081
"764",-18.0266145047881
"765",-18.1230654346784
"766",-18.2008167318165
"767",-18.3275451538302
"768",-18.4893557675862
"769",-18.629258326965
"770",-18.8329907393176
"771",-17.8840892794093
"772",-17.8940642130514
"773",-17.9206111923635
"774",-17.9647821770978
"775",-18.0312121598791
"776",-18.1164369985697
"777",-18.1830041145789
"778",-18.3111325273711
"779",-18.4785656715706
"780",-18.6247730189715
"781",-18.7555304469629
"782",-17.8808373696436
"783",-17.8899197043391
"784",-17.9179397062689
"785",-17.9637607951175
"786",-18.0287200148927
"787",-18.1095142518143
"788",-18.2042091786951
"789",-18.3226015149527
"790",-18.4373525445097
"791",-18.6145222106164
"792",-18.7939293570056
"793",-17.8789540963493
"794",-17.8876084906337
"795",-17.9147103103986
"796",-17.9569643049294
"797",-18.0333498227696
"798",-18.0977220124363
"799",-18.201030170349
"800",-18.3039067107139
"801",-18.4798530589662
