"","x"
"870",-18.4824775768732
"871",-18.4564231801527
"872",-18.4796120980726
"873",-18.4633202640123
"874",-18.4868879923806
"875",-18.4346000404858
"876",-18.4760811679423
"877",-18.4790201539072
"878",-18.4522020528346
"879",-18.490960611116
"880",-18.4884311733373
"881",-18.5143096226623
"882",-18.5018708495341
"883",-18.7000041562876
"884",-18.682500185137
"885",-18.6467585225386
"886",-18.654258645414
"887",-18.6376209898117
"888",-18.6528908563095
"889",-18.6370711759347
"890",-18.5928785150981
"891",-18.6315887560912
"892",-18.6212067803311
"893",-18.6436727899459
"894",-18.681590376505
"895",-18.629486862289
"896",-18.6293104440447
"897",-18.6485549429097
"898",-18.632374054269
"899",-18.6526311212629
"900",-18.6765885629747
"901",-18.638719951895
"902",-18.65520484311
"903",-18.6160465998457
"904",-18.9642696276695
"905",-18.8461886536707
"906",-18.8719293243926
"907",-18.8269763801789
"908",-18.8440704928134
"909",-18.7775622703759
"910",-18.813802781325
"911",-18.8704281433487
"912",-18.8091214337779
"913",-18.8152663465441
"914",-18.8232704057906
"915",-18.7761184059361
"916",-18.755796870593
"917",-18.8165276488406
"918",-18.8334771174994
"919",-18.8133480596811
"920",-18.7981617912261
"921",-18.7557949378336
"922",-18.8165833065887
"923",-18.8279633954964
"924",-18.8413478435283
"925",-15.3950643761119
"926",-15.3800612399983
"927",-15.3672400998235
"928",-15.3564127807788
"929",-15.3474146386775
"930",-15.3401007936002
"931",-15.3343430881982
"932",-15.3300276095248
"933",-15.3270526535735
"934",-15.3253270408855
"935",-15.3247687129797
"936",-15.3253035552322
"937",-15.3268644037293
"938",-15.3293902026345
"939",-15.3328252854981
"940",-15.3371187592585
"941",-15.342223973813
"942",-15.3480980632812
"943",-15.3547015476364
"944",-15.3619979854173
"945",-15.3699536698563
"946",-15.4032944435101
"947",-15.3891776802022
"948",-15.3765028497208
"949",-15.3640738506302
"950",-15.3554683806601
"951",-15.3491086259409
"952",-15.3419011553377
"953",-15.3382497499798
"954",-15.3352887263283
"955",-15.3333832381019
"956",-15.3329422097436
"957",-15.3333381531907
"958",-15.3348176634648
"959",-15.338129300191
"960",-15.3403942291357
"961",-15.3454513071729
"962",-15.3507815589842
"963",-15.3564040900147
"964",-15.3623926909063
"965",-15.3708838702597
"966",-15.37865388419
"967",-15.4242384594121
"968",-15.4161235359846
"969",-15.3960145327654
"970",-15.3888302240886
"971",-15.3754147859153
"972",-15.3727172331454
"973",-15.3672008041318
"974",-15.3616157965096
"975",-15.3605610215438
"976",-15.3579786644288
"977",-15.3583766369598
"978",-15.3612247072786
"979",-15.3603388820801
"980",-15.3636011199515
"981",-15.3663387602915
"982",-15.3699383148402
"983",-15.373832547304
"984",-15.3810306753245
"985",-15.3883337170985
"986",-15.3995426864115
"987",-15.3996613025917
"988",-15.4702192283135
"989",-15.4520024809436
"990",-15.4416308000426
"991",-15.4272784620464
"992",-15.4242188608806
"993",-15.4147819870327
"994",-15.4064181203157
"995",-15.4096053456048
"996",-15.4027592858621
"997",-15.4038635933561
"998",-15.4018719931938
"999",-15.3950057479194
"1000",-15.4065107540605
"1001",-15.4066912709783
"1002",-15.4010299379957
"1003",-15.4088055764366
"1004",-15.4147744723838
"1005",-15.4196867983245
"1006",-15.4275823494205
"1007",-15.4363752313353
"1008",-15.4406537076905
"1009",-15.5332325791764
"1010",-15.512157822337
"1011",-15.4916021633964
"1012",-15.4869672131083
"1013",-15.4858755269178
"1014",-15.4688222267549
"1015",-15.4672397634582
"1016",-15.4581267739626
"1017",-15.4528602115307
"1018",-15.4602399303186
"1019",-15.4501030226864
"1020",-15.4649366211951
"1021",-15.4600000494321
"1022",-15.4610673449763
"1023",-15.4659548490242
"1024",-15.4690521271568
"1025",-15.4745029536896
"1026",-15.4881698351404
"1027",-15.4906101894461
"1028",-15.4949940452055
"1029",-15.5019687488647
"1030",-15.6068934215034
"1031",-15.603962581381
"1032",-15.5880094274758
"1033",-15.5655651412212
"1034",-15.5610122580598
"1035",-15.5466087646698
"1036",-15.5474061318198
"1037",-15.539808821689
"1038",-15.5303510271921
"1039",-15.5326978944627
"1040",-15.5266443593809
"1041",-15.5276276703053
"1042",-15.529673617972
"1043",-15.5318679793738
"1044",-15.5397271827676
"1045",-15.5501599663405
"1046",-15.5447510617742
"1047",-15.5656588203752
"1048",-15.564362160922
"1049",-15.5760855279196
"1050",-15.5817416087684
"1051",-15.6901951871468
"1052",-15.6717218658367
"1053",-15.6748526685261
"1054",-15.6350642876744
"1055",-15.6341975121189
"1056",-15.6364410068713
"1057",-15.6243626835681
"1058",-15.610331337609
"1059",-15.6316275623614
"1060",-15.6245471344468
"1061",-15.6278850041872
"1062",-15.610669542629
"1063",-15.6146404270531
"1064",-15.6173479254944
"1065",-15.628455217315
"1066",-15.6477217100579
"1067",-15.6396633111211
"1068",-15.6440296832312
"1069",-15.6702500865788
"1070",-15.6705411581362
"1071",-15.6515485648033
"1072",-15.8161002932583
"1073",-15.8003530078684
"1074",-15.7651050512242
"1075",-15.770239438313
"1076",-15.7371148153288
"1077",-15.7451734582362
"1078",-15.7402957345191
"1079",-15.7283917711443
"1080",-15.750888674262
"1081",-15.7147606713512
"1082",-15.7263169088125
"1083",-15.7123770175214
"1084",-15.7085351522027
"1085",-15.7469934737504
"1086",-15.7451436725807
"1087",-15.7436130111131
"1088",-15.7755422191714
"1089",-15.7526645058426
"1090",-15.7808820271408
"1091",-15.7782103549616
"1092",-15.7687166595284
"1093",-15.9376834840478
"1094",-15.9006182239172
"1095",-15.9047262684783
"1096",-15.8391824900411
"1097",-15.8813025836494
"1098",-15.8882429710496
"1099",-15.8684079074605
"1100",-15.8396145508064
"1101",-15.8850996865947
"1102",-15.8939244790337
"1103",-15.8680041611767
"1104",-15.8363031543746
"1105",-15.8642054982437
"1106",-15.8533880036301
"1107",-15.8889107785883
"1108",-15.8988825031721
"1109",-15.846632664445
"1110",-15.8766476370791
"1111",-15.8832530807187
"1112",-15.8871602471028
"1113",-15.9108603180898
"1114",-16.0914427243623
"1115",-16.0944677067047
"1116",-16.029336312861
"1117",-16.0036985080759
"1118",-16.0413552029118
"1119",-16.0143084092713
"1120",-16.030899041017
"1121",-15.9972126536521
"1122",-16.0120220367662
"1123",-16.0279938029911
"1124",-16.001097099515
"1125",-15.9997228764548
"1126",-16.0230771702891
"1127",-15.9853136087255
"1128",-15.9955909848355
"1129",-15.9899886594932
"1130",-16.0510598969242
"1131",-16.0781712519195
"1132",-16.0044211179914
"1133",-16.0316837196781
"1134",-16.0373996098803
"1135",-16.2317640236871
"1136",-16.2080522532932
"1137",-16.2095337176352
"1138",-16.2109859858103
"1139",-16.1392670429711
"1140",-16.1385918714282
"1141",-16.1563952374197
"1142",-16.1552666971799
"1143",-16.219328176524
"1144",-16.1507897581725
"1145",-16.2036305561578
"1146",-16.1527788188082
"1147",-16.1283539453605
"1148",-16.2139417193662
"1149",-16.2018568451533
"1150",-16.1722205599882
"1151",-16.2040188316941
"1152",-16.1844458600053
"1153",-16.178371192765
"1154",-16.2018249012539
"1155",-16.2105794896795
"1156",-12.9394684556612
"1157",-12.9258849719098
"1158",-12.9142470751606
"1159",-12.9043958171512
"1160",-12.896191125015
"1161",-12.8895089263984
"1162",-12.8842388018968
